Comment,Designator,Footprint,LCSC
470R,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114564
LED,D6,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C136118
360R,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C137444
130,"R18,R19,R20",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C137474
Conn_01x03,J4,PinSocket_1x03_P2.54mm_Vertical,C146243
0.15A,F1,Fuse_0603_1608Metric,C151137
Conn_01x02,"J1,SW1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
10uF,"C2,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
10k,"R10,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
0R,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477
1k,"R2,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
27.4,"R12,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17588
20pF,"C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1798
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
Orange LED,D4,LED_0603_1608Metric,C205445
LED,D7,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C264408
5.1k,"R5,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834
100nF,"C1,C11,C12,C13,C14,C15,C3,C6,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
1uF,"C10,C16",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
Reset,SW2,SW_SPST_PTS645,C2837531
D_Schottky,"D1,D2",D_SMA,C2909963
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2988369
5.6k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4382
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,C49661
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C50430
Conn_01x04,J5,PinSocket_1x04_P2.54mm_Vertical,C5116483
4K7,"R14,R15,R16,R17",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C60816
Voltage Regulator,U3,SOT-223,C6186
D_Zener,D3,D_SOD-123,C668891
LED,D8,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C74339
Green LED,D5,LED_0603_1608Metric,C84264
W25Q128JVPIQ TR,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
