Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.4852,-78.994,180.0,top
C2,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.02,-73.4415,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.988,-73.4415,-90.0,top
C4,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.274478,-62.017868,-135.0,top
C5,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.969855,-59.322491,45.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.243,-69.723,0.0,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.243,-71.755,0.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.531,-56.769,45.0,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.514,-68.072,-135.0,top
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.847,-62.357,-45.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.531,-68.453,0.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.244,-66.548,-135.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.563,-57.531,45.0,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.879,-58.674,135.0,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.689,-56.642,-135.0,top
C16,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.482,-60.071,-45.0,top
D1,D_Schottky,D_SMA,94.069,-53.213,135.0,top
D2,D_Schottky,D_SMA,86.195,-77.343,0.0,top
D3,D_Zener,D_SOD-123,81.28,-77.85,-90.0,top
D4,Orange LED,LED_0603_1608Metric,88.1,-74.676,180.0,top
D5,Green LED,LED_0603_1608Metric,88.963499,-67.056,0.0,top
D6,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.436,-66.524181,135.0,top
D7,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.436,-65.151,135.0,top
D8,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.436,-63.754,135.0,top
F1,0.15A,Fuse_0603_1608Metric,91.275,-79.248,0.0,top
J1,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,97.899,-83.549,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,105.918,-83.815,180.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,81.118,-58.821,-90.0,top
J4,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,121.0714,-56.1848,-90.0,top
J5,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,114.148,-43.453,0.0,top
R1,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.988,-52.07,0.0,top
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.955,-78.638,180.0,top
